,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r1
326,3.26e-06,0.004032136,0.008195096,0.138421342,97.45,35.7348747253418
327,3.27e-06,0.007218026,0.01129856,0.137612552,97.59,35.32520294189453
328,3.28e-06,0.004420498,0.008655934,0.152515486,97.46,35.93454360961914
329,3.29e-06,0.004531166,0.008867852,0.131393,97.6,36.30622100830078
330,3.3e-06,0.005808271,0.010176574,0.154188281,97.32,36.38307189941406
331,3.31e-06,0.003640374,0.008227144,0.137755848,97.63,37.225406646728516
332,3.32e-06,0.004996403,0.009464572,0.129629286,97.58,36.685611724853516
333,3.33e-06,0.006070485,0.010675775,0.140077323,97.51,37.18830108642578
334,3.34e-06,0.007394303,0.011885795,0.142210748,97.4,36.67094421386719
335,3.35e-06,0.00867043,0.013635316,0.140798898,97.35,38.497474670410156
336,3.36e-06,0.004709558,0.009282635,0.123286614,97.8,36.892208099365234
337,3.37e-06,0.00697238,0.011444321,0.132772579,97.74,36.42781448364258
338,3.38e-06,0.003801357,0.008013868,0.160650867,97.31,35.30304718017578
339,3.39e-06,0.005552322,0.009945055,0.138015707,97.62,35.99710464477539
340,3.4e-06,0.006941267,0.011551449,0.136406928,97.56,36.823036193847656
341,3.41e-06,0.006338986,0.011015919,0.140823355,97.48,37.034236907958984
342,3.42e-06,0.005145852,0.009539959,0.129798848,97.72,35.844478607177734
343,3.43e-06,0.005994619,0.010257658,0.1431157,97.53,35.25434112548828
344,3.44e-06,0.006189493,0.010403421,0.136416504,97.55,34.99970245361328
345,3.45e-06,0.004071276,0.008376269,0.124451489,97.78,35.324554443359375
346,3.46e-06,0.0055883,0.009851875,0.140621482,97.47,35.10337829589844
347,3.47e-06,0.004417997,0.00877742,0.139651758,97.5,35.44457244873047
348,3.48e-06,0.005835331,0.010272983,0.147065428,97.4,35.70976638793945
349,3.49e-06,0.003957394,0.00862002,0.136153753,97.61,36.55127716064453
350,3.5e-06,0.008126019,0.012507503,0.148956579,97.42,35.381526947021484
351,3.51e-06,0.004976993,0.009486619,0.124611753,97.78,35.844017028808594
352,3.52e-06,0.005875491,0.010349002,0.127540042,97.67,35.64945602416992
353,3.53e-06,0.007357804,0.011863255,0.141619696,97.67,35.72578430175781
354,3.54e-06,0.004219595,0.008535702,0.139552355,97.52,34.917606353759766
355,3.55e-06,0.006301635,0.010624303,0.14145691,97.51,34.89488220214844
356,3.56e-06,0.004651726,0.009081681,0.152908035,97.37,35.27561950683594
357,3.57e-06,0.005333481,0.009794859,0.142007288,97.52,35.350894927978516
358,3.58e-06,0.004653391,0.009163553,0.141794407,97.55,35.49397277832031
359,3.59e-06,0.004823879,0.009790201,0.143141719,97.58,37.19376754760742
360,3.6e-06,0.006553374,0.011171631,0.168881334,97.02,35.81688690185547
361,3.61e-06,0.004719914,0.009370322,0.139277173,97.48,35.89152526855469
362,3.62e-06,0.002489717,0.007119567,0.145548624,97.31,35.762603759765625
363,3.63e-06,0.004227534,0.008701173,0.130612963,97.61,35.10566329956055
364,3.64e-06,0.008408496,0.013286571,0.134826645,97.55,36.60779571533203
365,3.65e-06,0.004383452,0.009124012,0.138495279,97.47,36.038639068603516
366,3.66e-06,0.004112066,0.009206763,0.148986246,97.43,37.30943298339844
367,3.67e-06,0.007914438,0.012890389,0.133474084,97.58,36.82180404663086
368,3.68e-06,0.005644728,0.010498897,0.120820367,97.79,36.318973541259766
369,3.69e-06,0.005985381,0.010693349,0.140408843,97.46,35.7193489074707
370,3.7e-06,0.006956982,0.011628938,0.154205336,97.39,35.53436279296875
371,3.71e-06,0.007620592,0.012406901,0.134677821,97.63,35.91810607910156
372,3.72e-06,0.004970415,0.009456153,0.143894537,97.62,34.725257873535156
373,3.73e-06,0.006681618,0.011255816,0.131546066,97.76,35.01894760131836
374,3.74e-06,0.008498663,0.013229939,0.129254259,97.64,35.567501068115234
375,3.75e-06,0.005584272,0.010188302,0.121786199,97.75,35.03914260864258
376,3.76e-06,0.003434077,0.007919899,0.153119101,97.55,34.54037857055664
377,3.77e-06,0.007827181,0.012478214,0.129113417,97.65,35.12400436401367
378,3.78e-06,0.004287159,0.008937926,0.127531731,97.82,35.07651138305664
379,3.79e-06,0.006792146,0.011229872,0.148916352,97.42,34.218475341796875
380,3.8e-06,0.005395123,0.00997284,0.129402945,97.74,34.708248138427734
381,3.81e-06,0.0050621,0.009590066,0.142481227,97.56,34.47379684448242
382,3.82e-06,0.007407523,0.012100682,0.138705545,97.56,35.05104064941406
383,3.83e-06,0.004746669,0.009340196,0.132893064,97.59,34.63169479370117
384,3.84e-06,0.003098424,0.007564429,0.131903003,97.82,34.10311508178711
385,3.85e-06,0.007938033,0.012083683,0.134922883,97.49,32.81450653076172
386,3.86e-06,0.005709247,0.010071995,0.15084344,97.41,33.6191291809082
387,3.87e-06,0.006623572,0.010812592,0.144227322,97.4,32.90036392211914
388,3.88e-06,0.006256644,0.010773465,0.137780725,97.52,34.11933135986328
389,3.89e-06,0.005056051,0.009791393,0.144291242,97.6,34.889991760253906
390,3.9e-06,0.004750611,0.009699185,0.136849205,97.44,35.621131896972656
391,3.91e-06,0.003199125,0.007941571,0.148565622,97.42,34.82674026489258
392,3.92e-06,0.00660571,0.011292053,0.137444813,97.55,34.5759391784668
393,3.93e-06,0.003634629,0.008360984,0.13578921,97.75,34.67902755737305
394,3.94e-06,0.003488473,0.008281232,0.130537609,97.73,34.877445220947266
