,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,r0
71,0.0142,0.616328913,1.899328468,0.575497383,87.14,96.632653061,97.621145374,86.434108527,76.534653465,93.380855397,80.269058296,91.544885177,89.494163424,82.443531828,75.421209118,9.425543785095215
72,0.0144,0.621920571,1.918884292,0.583695045,86.61,97.040816327,98.766519824,83.430232558,82.871287129,92.057026477,77.242152466,90.292275574,88.813229572,75.770020534,77.502477701,9.43850326538086
73,0.0146,0.626604179,1.921021408,0.588124516,87.1,96.530612245,97.621145374,86.240310078,78.415841584,85.437881874,80.156950673,92.275574113,86.770428016,79.055441478,86.620416254,9.437990188598633
74,0.0148,0.628284338,1.937748416,0.601003282,85.45,94.795918367,98.237885463,77.034883721,86.435643564,83.50305499,69.394618834,92.275574113,86.770428016,75.770020534,87.21506442,9.390312194824219
75,0.015,0.633600986,1.943999278,0.605750866,86.64,97.040816327,98.237885463,84.88372093,80.99009901,90.122199593,73.766816143,90.814196242,85.992217899,76.796714579,85.133795837,9.374751091003418
76,0.0152,0.635956328,1.959474944,0.612557703,85.81,97.755102041,98.678414097,86.821705426,85.544554455,91.649694501,69.730941704,89.979123173,92.80155642,69.507186858,72.150644202,9.338768005371094
77,0.0154,0.640556097,1.968147198,0.635459492,85.65,97.244897959,97.797356828,73.740310078,86.336633663,93.482688391,80.493273543,79.958246347,91.634241245,75.359342916,78.39444995,9.284385681152344
78,0.0156,0.643828361,1.976796778,0.648795909,84.59,96.428571429,97.004405286,83.527131783,90.099009901,68.126272912,69.506726457,76.722338205,90.272373541,82.648870637,87.611496531,9.288504600524902
79,0.0158,0.647651506,1.994045314,0.642917721,84.61,96.734693878,98.942731278,79.263565891,83.267326733,90.529531568,83.520179372,89.248434238,84.630350195,68.275154004,70.069375619,9.315485954284668
80,0.016,0.651537887,2.025717208,0.618542332,86.47,95.408163265,97.621145374,84.786821705,85.940594059,82.892057026,72.98206278,95.511482255,82.684824903,76.078028747,88.206144698,9.228736877441406
81,0.0162,0.655904813,2.007417178,0.635512478,85.06,96.326530612,98.766519824,82.65503876,84.257425743,94.195519348,68.273542601,93.319415449,87.159533074,74.640657084,67.988107037,9.148343086242676
82,0.0164,0.659760256,2.019219558,0.638063617,85.99,94.693877551,98.59030837,83.042635659,82.475247525,81.873727088,65.807174888,95.09394572,83.657587549,83.572895277,87.809712587,9.152097702026367
83,0.0166,0.665933998,2.061731051,0.634963922,85.39,95.408163265,98.237885463,78.972868217,77.326732673,91.446028513,69.506726457,95.302713987,87.062256809,82.546201232,75.619425173,9.141515731811523
84,0.0168,0.669225555,2.05735324,0.653291996,85.18,97.551020408,95.77092511,84.399224806,77.425742574,69.246435845,72.869955157,91.649269311,88.035019455,80.492813142,91.674925669,9.107556343078613
85,0.017,0.66986406,2.072269638,0.65266504,86.35,98.163265306,97.18061674,81.395348837,81.98019802,82.484725051,79.820627803,91.753653445,85.894941634,81.211498973,81.962338949,9.040749549865723
